id,start,end,restaurantid,billing,riderid,status
0,2014-01-06 12:00:00 -0500,2014-01-06 18:00:00 -0500,3,normal,6,proposed
1,2014-01-07 12:00:00 -0500,2014-01-07 18:00:00 -0500,3,normal,7,proposed
2,2014-01-08 12:00:00 -0500,2014-01-08 18:00:00 -0500,3,normal,8,proposed
3,2014-01-09 12:00:00 -0500,2014-01-09 18:00:00 -0500,3,normal,9,proposed
4,,,,
5,2014-01-06 12:00:00 -0500,2014-01-06 18:00:00 -0500,4,normal,13,proposed
6,,,,
7,2014-01-07 12:00:00 -0500,2014-01-07 18:00:00 -0500,4,normal,14,proposed
8,,,,
9,2014-01-08 12:00:00 -0500,2014-01-08 18:00:00 -0500,4,normal,15,proposed
10,2014-01-09 12:00:00 -0500,2014-01-09 18:00:00 -0500,4,normal,16,proposed
