id,name,phone
1,67 Burger,718-399-6767
2,Banzobar,212-317-1900
3,Barcey's Coffee,718-484-8183
4,Bark Hot Dogs,718-789-1939
5,BobWhite,212-228-2972
6,Boulton and Watt,347-603-2883
7,Brick NYC,212-577-2725
8,Broccolino,212-666-6666
9,Burger Urway,347-294-0650
10,Court Street Grocers,212-582-7946
11,Dar525,347-422-0401
12,Delicatessen,212-226-0211
13,Dinosaur BBQ,347-429-7030
14,DUB Pies,347-380-7582
15,Eat Tribal,212-666-6666
16,El Almacen,212-666-6666
17,Fletcher's BBQ,347-763-2680
18,Good To Go Organics,646-438-9622
19,Goodfella's Gramercy,212-545-8500
20,HBH Gourmet Sandwiches,347-689-9478
21,Heritage Wine,718-237-1525
22,Holey Cream,212-247-8400
23,Hunter's,718-246-2221
24,Imli Cafe,347-689-3398
25,Kale,212-867-5252
26,Kimchi Grill,718-360-1839
27,Kipseyes,646-590-3410
28,Kulushkat,347-799-1972
29,Le Colonial,212-752-0808
30,Luscious Food,212-666-6666
31,Mac Shack,718-230-0727
32,Melt Shop,212-759-6358
33,Mile End (Brooklyn),718-852-7510
34,Mile End (Manhattan),212-529-2990
35,Milk Burger,212-360-1988
36,Mission Chinese Food,212-529-8800
37,Momofuku Milk Bar,646-295-6594
38,Mr. Falafel,212-666-6666
39,Murray's Bagels (Chelsea),646-638-1335
40,Muscle Maker Grill (Tribeca),212-962-1813
41,Nino's 46,212-719-4015
42,Paris Cafe,212-240-9797
43,Parm,212-993-7189
44,Pazzi Pasta,973-727-9013
45,Peter Since 1969,212-666-6666
46,Pizza Shack,212-477-3367
47,Rosarito Fish Shack,718-388-8833
48,Salad Pangea,212-666-6666
49,Salad Wheel,347-627-8637
50,SCRATCHbread,212-666-6666
51,Solo Pizza,212-420-7656
52,Taquitoria,212-780-0121
53,Taro Sushi,212-666-6666
54,The Wok Shop,212-666-6666
55,Trading Post,646-370-3337
56,Tutta Pasta,212-666-6666
57,Warren 77,212-227-8994
58,Zucker's Bagels (Grand Central),212-661-1080
59,Shelter Pizza,212-666-6666
60,Fake 1,212-666-6666
61,Zucker's Bagels (Tribeca),212-608-5844
62,Fake 2,212-666-6666
63,Muscle Maker Grill (Chelsea),212-807-1000
64,Mayhem and Stout,212-666-6666
65,Turkiss,646-398-7849
66,Culture (Brooklyn),718-499-0207
67,Cowgirl Seahorse,212-608-7873
68,Soi 30 Thai,212-481-5211
69,Tompkins Square Bagels,646-551-6520
70,Culture (Manhattan),212-666-6666
71,MexiBBQ,718-626-0333
72,Taqueria Diana,212-666-6666
73,Pita Grill (Chelsea),212-243-7482
74,Choza Taqueria (Midtown),212-213-0708
75,Pita Grill (Harlem),212-666-6666
76,Black Shack,212-666-6666
77,Floridita,212-666-6666
78,Rhong Tiam (Chelsea),212-666-6666
79,Bagel Boss,646-368-1880
80,Two Boots Pizza (Williamsburg),212-666-6666
81,Choza Taqueria (Greenwich Village),212-533-5353
82,Choza Taqueria (Hell's Kitchen),212-666-6666
83,Chelsea Grill,212-666-6666
84,Bagel Cafe,212-679-9845
85,Brooklyn Burger and Brew,212-666-6666
86,International Wings Factory,212-666-6666
87,Roberta's,718-417-1118
88,Love Bar and Cafe,212-666-6666
89,Georgio's Pizzeria,212-361-6160
90,Genuine Roadside,212-582-7941
