id,active,status,brief
1,TRUE,stable,"is a trendy ""better burger"" spot in Park Slope. They get quite busy and are sticklers about on-time arrival. Tips and volume are good. Pay is on the books. Strict adherence to DOT guidelines required!"
2,FALSE,inactive,is a small mediterranean spot located at 969 3rd Ave between 57th and 58th. They pay on the books only so you will have to sign some tax papers and you will be getting your base pay and all tips on a check once a week. Please confirm you are okay with that.
3,FALSE,inactive,"is a busy coffee and gourmet sandwich shop in Bushwick. The zone is very big and volume is very high, so expect to work hard but come home with a good chunk of change for your effort. Staff is very nice, though the owner can be grouchy and extra demanding during the morning rush. Try extra hard to be on time, as that is her main pet peeve. Shift meal is delicious. (Austin recommends the Vietnamese sandwich). Pay is in cash."
4,FALSE,inactive,is a hip hot dog/burger spot in Park Slope. It's been the latest craze for some years now. They get crazy busy and have a pretty chill staff. They make their own home made burgers/hot dogs and SixPoint brews their very own signature draft beer. Delicious shift meal!
5,TRUE,stable,"is a fancy Southern restaurant located in the East Village. They get super busy, the zone is really compact, and the tips are solid. The staff is very friendly and the food is delicious. Helmet required. Cash pay. Riders are required to add up their tips at the end of the night before getting paid, so bring a calculator or smart phone."
6,TRUE,stable,"is a bar/restaurant in the Lower East Side of Manhattan. They get relatively busy and have a pretty compact delivery area.  If it is your first shift, get there a few minutes early as they will have to brief you on the use of their POS system. You basically handle their delivery department which entails punching in your own orders and packaging them. They may come off as a bit demanding in the beginning but as long as you're on top of your game it should not be an issue. Overall friendly and young staff. Dress code: nice attire; no sleeveless t's and no shorts. Must bring your own helmet. Pay is on the books."
7,FALSE,inactive,[not recorded]
8,TRUE,stable,"is an upscale Italian restaurant in Park Slope. The staff is very nice and feeds you a delicious meal. They get pretty busy and the tips are good. For the Saturday & Sunday 12-5 shift, they will offer you a chance to make extra money by helping out around the restaurant -- in-house staff will tip you out if you do. Pay is on the books; checks available on Wednesdays."
9,FALSE,inactive,"is a ""better burger"" joint located in Fort Greene.  They get extremely busy and their delivery range can be kind of big so make sure you study up on the area. Keep in mind downtown Brooklyn and DUMBO area as well. Cash pay."
10,TRUE,stable,is a gourmet sandwich spot in Hell's Kitchen. It is inside a building called Gotham Market. Ask for a manager and let them know you're there from BK Shift. Gets relatively busy and you're guaranteed a shift meal. Cash pay.
11,FALSE,inactive,is a classy mediterranean spot in Williamsburg. They get extremely busy so please only confirm if you know this area well! The owner will feed you awesome food. He's a very nice guy. Especially if you are on your game.
12,FALSE,inactive,[not recorded]
13,TRUE,stable,"is a nationally-renowned BBQ joint in Park Slope. Gets relatively busy; orders are split between 3 BK Shift riders. Great work environment and shift meal. For your first shift, please arrive 1 hour early for a paid orientation. Pay is $8/hr+tips, and is on the books."
14,TRUE,stable,is a small hip sweet and savory pie shop in the West Village. The staff is full of very chill Australians . They are a well established brand and get pretty busy.
15,FALSE,inactive,"is a weekly subscription to gourmet Paleo meal delivery._It is not a restaurant but a meal delivery service. They work out of a shared workspace called Alley NYC. After taking the elevator to the 17th floor, turn right and find the ""Eat Tribal"" fridge. The owner, Edlin will meet you there. If he doesn't greet you, he's probably working on one of the sofas or back offices.The owner will delegate the deliveries (which go all over the city) between the 2-3 messengers that are assigned in a way that makes sense. You have roughly four hours to deliver the food to its destinations. Most food can be left with the doorman. A few notes: you will not get tips, but if you ride fast, you will make a great hourly rate (you'll still get $40 even if it only takes you 2 hours to do the deliveries). You can email Edlin (edlin@eattribal.com) the night before your shift to get a list of the deliveries and make a route for yourself in Google Maps. If you set up a Venmo or PayPal account, Edlin will pay you directly through that (sometimes even if you finish early you have to wait for him to return to pay you. Setting up online payment avoids that.)"
16,TRUE,stable,is a hip Latin Fusion spot in Brooklyn. Good food. Please arrive on time and dress presentably.
17,TRUE,stable,"is a new BBQ spot in Gowanus. You'll get a yummy shift meal, and should make good tips. Note that the front-of-house is pretty big, making it hard to see the rider. Please be proactive about checking in when you get back from deliveries and avoid being on your phone while in the restaurant (this seems to be a pet-peeve for the staff).  They have a bigger-than-average zone, and there are a lot of hills, so we need riders who are in their best shape. Cash pay."
18,TRUE,stable,"is a small take out shop in Midtown East. They get relatively busy and the managers are a little strict. That being said, if you are on top of your game you should totally be fine. **PLEASE NOTE: Almost all the deliveries here happen in the early part of the shift, so it's absolutely imperative that you arrive on time (if not early)."
19,FALSE,inactive,"is a new brick-oven pizza spot in the ritzy Gramercy Park neighborhood of Manhattan. Dress code: presentable, clean-cut attire and no piercings. Helmet required. Cash pay."
20,FALSE,inactive,[not recorded]
21,TRUE,stable,is a small hip wine shop in Fort Greene. You don't need to show up there. Just make sure you give them a call at_718.237.1525_at the beginning of the shift to let them know that you're their messenger on staff. If they do call you for a delivery then just let Kulushkat's manager know. Heritage will pay you per delivery as follows: Orders over $50 - Heritage staff will give you $3 + whatever tip you get from the customer. Orders under $50 - Heritage will charge the customer a $5 delivery fee that will go directly to you.
22,FALSE,inactive,is a small ice cream shop located at 796 9th Ave in Hell's Kitchen. The tips are average but they have a lot of volume and not too large of a radius. They have special insulated bags for you to carry the ice cream. Pay is in cash. The managers may ask you to do the dishes (as you'll see the rest of the delivery guys that work for the shop directly do). The owner and some of the managers are already aware that you do not do dishes._Politely_say  that you work for the agency and do not do dishes. If you have any issues -- do not hesitate to call us. Should not be a problem.
23,TRUE,stable,"is an upscale restaurant located on Smith St in Cobble Hill. We hear they have a very big delivery zone, so be prepared to do some riding. Cash pay."
24,FALSE,inactive,is an Indian restaurant located at 178 North 8th St in Williamsburg in Brooklyn. They don't get terribly busy.
25,FALSE,inactive,"is a health food joint in Midtown East specializing in build-your-own salads.  They're busy but heavily staffed, so you won't always get a ton of deliveries, but the staff is quite chill and the work environment is friendly. Be sure to keep careful track of your tips and deliveries, either in a notepad or on your phone -- they can be a bit disorganized at pay-out time. Pay is by personal check -- often ready at the end of the day but sometimes you'll need to come back the next day to pick it up."
26,TRUE,stable,"is a hip Korean Taco spot in Prospect Heights, BK. They get extremely busy during the evening and customers tip well. Pay is in cash. Staff is super friendly, and the shift meal is delicious. You'll have to keep track of your tips and add them up at the end of the shift before getting paid, so be ready to set aside a bit of time for that and bring a calculator or phone with a calculator if you have one."
27,FALSE,inactive,is a restaurant located at 438 2nd Ave in Kip's Bay. They ask you to help with packaging of the food for your deliveries. The delivery radius isn't too big and they do get pretty busy. The general manager is a little demanding but usually settles down if you show that you're on top of your game. Dress code: Must wear black shirt and black pants.
28,TRUE,stable,"is a small Mediterranean spot in Park Slope._They may ask you to run some errands_(laundry, feeding the meter, quick grocery runs) but nothing too crazy._Compensation is $5/hr+tips, and shift meal._(For 6-12am shifts) Kulushkat gets very busy and you must know the area surrounding it well. You will be expected to handle up to 4-5 deliveries in one run efficiently."
29,TRUE,stable,"is a very upscale French Vietnamese fusion restaurant in Midtown East. Please dress as neatly and professionally as possible. You will be expected to strictly adhere to the DOT guidelines. Pay is on the books. Guaranteed $80, or $6.50/hr+tips; whichever is higher"
