id,method,rate,shift_meal,cash_out_tips
1,check,[not recorded],TRUE,TRUE
2,check,[not recorded],TRUE,TRUE
3,cash,[not recorded],TRUE,TRUE
4,cash,[not recorded],TRUE,TRUE
5,cash,[not recorded],TRUE,TRUE
6,check,[not recorded],TRUE,TRUE
7,cash,[not recorded],TRUE,TRUE
8,check,[not recorded],TRUE,TRUE
9,cash,[not recorded],TRUE,TRUE
10,cash,[not recorded],TRUE,TRUE
11,cash,[not recorded],TRUE,TRUE
12,check,[not recorded],TRUE,TRUE
13,check,[not recorded],TRUE,TRUE
14,cash,[not recorded],TRUE,TRUE
15,cash,[not recorded],TRUE,TRUE
16,check,[not recorded],TRUE,TRUE
17,cash,[not recorded],TRUE,TRUE
18,cash,[not recorded],TRUE,TRUE
19,cash,[not recorded],TRUE,TRUE
20,cash,[not recorded],TRUE,TRUE
21,cash,[not recorded],TRUE,TRUE
22,cash,[not recorded],TRUE,TRUE
23,cash,[not recorded],TRUE,TRUE
24,cash,[not recorded],TRUE,TRUE
25,cash,[not recorded],TRUE,TRUE
26,cash,[not recorded],TRUE,TRUE
27,cash,[not recorded],TRUE,TRUE
28,cash,[not recorded],TRUE,TRUE
29,check,[not recorded],TRUE,TRUE
30,cash,[not recorded],TRUE,TRUE
31,cash,[not recorded],TRUE,TRUE
32,check,[not recorded],TRUE,TRUE
33,cash,[not recorded],TRUE,TRUE
34,cash,[not recorded],TRUE,TRUE
35,cash,[not recorded],TRUE,TRUE
36,check,[not recorded],TRUE,TRUE
37,check,[not recorded],TRUE,TRUE
38,cash,[not recorded],TRUE,TRUE
39,cash,[not recorded],TRUE,TRUE
40,cash,[not recorded],TRUE,TRUE
41,check,[not recorded],TRUE,TRUE
42,cash,[not recorded],TRUE,TRUE
43,cash,[not recorded],TRUE,TRUE
44,cash,[not recorded],TRUE,TRUE
45,cash,[not recorded],TRUE,TRUE
46,cash,[not recorded],TRUE,TRUE
47,cash,[not recorded],TRUE,TRUE
48,cash,[not recorded],TRUE,TRUE
49,cash,[not recorded],TRUE,TRUE
50,cash,[not recorded],TRUE,TRUE
51,cash,[not recorded],TRUE,TRUE
52,cash,[not recorded],TRUE,TRUE
53,cash,[not recorded],TRUE,TRUE
54,cash,[not recorded],TRUE,TRUE
55,check,[not recorded],TRUE,TRUE
56,cash,[not recorded],TRUE,TRUE
57,check,[not recorded],TRUE,TRUE
58,cash,[not recorded],TRUE,TRUE
59,cash,[not recorded],TRUE,TRUE
60,cash,[not recorded],TRUE,TRUE
61,cash,[not recorded],TRUE,TRUE
62,cash,[not recorded],TRUE,TRUE
63,cash,[not recorded],TRUE,TRUE
64,cash,[not recorded],TRUE,TRUE
65,cash,[not recorded],TRUE,TRUE
66,cash,[not recorded],TRUE,TRUE
67,check,[not recorded],TRUE,TRUE
68,cash,[not recorded],TRUE,TRUE
69,cash,[not recorded],TRUE,TRUE
70,cash,[not recorded],TRUE,TRUE
71,check,[not recorded],TRUE,TRUE
72,cash,[not recorded],TRUE,TRUE
73,check,[not recorded],TRUE,TRUE
74,check,[not recorded],TRUE,TRUE
75,check,[not recorded],TRUE,TRUE
76,cash,[not recorded],TRUE,TRUE
77,check,[not recorded],TRUE,TRUE
78,cash,[not recorded],TRUE,TRUE
79,cash,[not recorded],TRUE,TRUE
80,cash,[not recorded],TRUE,TRUE
81,check,[not recorded],TRUE,TRUE
82,check,[not recorded],TRUE,TRUE
83,cash,[not recorded],TRUE,TRUE
84,cash,[not recorded],TRUE,TRUE
85,cash,[not recorded],TRUE,TRUE
86,check,[not recorded],TRUE,TRUE
87,cash,[not recorded],TRUE,TRUE
88,check,[not recorded],TRUE,TRUE
89,check,[not recorded],TRUE,TRUE
90,cash,[not recorded],TRUE,TRUE
