id,zone,daytime_volume,evening_volume,extra_work,extra_work_description
1,[not recorded],[not recorded],[not recorded],FALSE,
2,[not recorded],[not recorded],[not recorded],FALSE,
3,[not recorded],[not recorded],[not recorded],FALSE,
4,[not recorded],[not recorded],[not recorded],FALSE,
5,[not recorded],[not recorded],[not recorded],FALSE,
6,[not recorded],[not recorded],[not recorded],FALSE,
7,[not recorded],[not recorded],[not recorded],FALSE,
8,[not recorded],[not recorded],[not recorded],FALSE,
9,[not recorded],[not recorded],[not recorded],FALSE,
10,[not recorded],[not recorded],[not recorded],FALSE,
11,[not recorded],[not recorded],[not recorded],FALSE,
12,[not recorded],[not recorded],[not recorded],FALSE,
13,[not recorded],[not recorded],[not recorded],FALSE,
14,[not recorded],[not recorded],[not recorded],FALSE,
15,[not recorded],[not recorded],[not recorded],FALSE,
16,[not recorded],[not recorded],[not recorded],FALSE,
17,[not recorded],[not recorded],[not recorded],FALSE,
18,[not recorded],[not recorded],[not recorded],FALSE,
19,[not recorded],[not recorded],[not recorded],FALSE,
20,[not recorded],[not recorded],[not recorded],FALSE,
21,[not recorded],[not recorded],[not recorded],FALSE,
22,[not recorded],[not recorded],[not recorded],FALSE,
23,[not recorded],[not recorded],[not recorded],FALSE,
24,[not recorded],[not recorded],[not recorded],FALSE,
25,[not recorded],[not recorded],[not recorded],FALSE,
26,[not recorded],[not recorded],[not recorded],FALSE,
27,[not recorded],[not recorded],[not recorded],FALSE,
28,[not recorded],[not recorded],[not recorded],FALSE,
29,[not recorded],[not recorded],[not recorded],FALSE,
30,[not recorded],[not recorded],[not recorded],FALSE,
31,[not recorded],[not recorded],[not recorded],FALSE,
32,[not recorded],[not recorded],[not recorded],FALSE,
33,[not recorded],[not recorded],[not recorded],FALSE,
34,[not recorded],[not recorded],[not recorded],FALSE,
35,[not recorded],[not recorded],[not recorded],FALSE,
36,[not recorded],[not recorded],[not recorded],FALSE,
37,[not recorded],[not recorded],[not recorded],FALSE,
38,[not recorded],[not recorded],[not recorded],FALSE,
39,[not recorded],[not recorded],[not recorded],FALSE,
40,[not recorded],[not recorded],[not recorded],FALSE,
41,[not recorded],[not recorded],[not recorded],FALSE,
42,[not recorded],[not recorded],[not recorded],FALSE,
43,[not recorded],[not recorded],[not recorded],FALSE,
44,[not recorded],[not recorded],[not recorded],FALSE,
45,[not recorded],[not recorded],[not recorded],FALSE,
46,[not recorded],[not recorded],[not recorded],FALSE,
47,[not recorded],[not recorded],[not recorded],FALSE,
48,[not recorded],[not recorded],[not recorded],FALSE,
49,[not recorded],[not recorded],[not recorded],FALSE,
50,[not recorded],[not recorded],[not recorded],FALSE,
51,[not recorded],[not recorded],[not recorded],FALSE,
52,[not recorded],[not recorded],[not recorded],FALSE,
53,[not recorded],[not recorded],[not recorded],FALSE,
54,[not recorded],[not recorded],[not recorded],FALSE,
55,[not recorded],[not recorded],[not recorded],FALSE,
56,[not recorded],[not recorded],[not recorded],FALSE,
57,[not recorded],[not recorded],[not recorded],FALSE,
58,[not recorded],[not recorded],[not recorded],FALSE,
59,[not recorded],[not recorded],[not recorded],FALSE,
60,[not recorded],[not recorded],[not recorded],FALSE,
61,[not recorded],[not recorded],[not recorded],FALSE,
62,[not recorded],[not recorded],[not recorded],FALSE,
63,[not recorded],[not recorded],[not recorded],FALSE,
64,[not recorded],[not recorded],[not recorded],FALSE,
65,[not recorded],[not recorded],[not recorded],FALSE,
66,[not recorded],[not recorded],[not recorded],FALSE,
67,[not recorded],[not recorded],[not recorded],FALSE,
68,[not recorded],[not recorded],[not recorded],FALSE,
69,"48th street, Ditmars, 36th Ave, 21st Street",5,20,FALSE,flyer delivery
70,[not recorded],[not recorded],[not recorded],FALSE,
71,[not recorded],[not recorded],[not recorded],FALSE,
72,[not recorded],[not recorded],[not recorded],FALSE,
73,[not recorded],[not recorded],[not recorded],FALSE,
74,[not recorded],[not recorded],[not recorded],FALSE,
75,[not recorded],[not recorded],[not recorded],FALSE,
76,[not recorded],[not recorded],[not recorded],FALSE,
77,"28th-52nd, 1st ave - madison ave",80-140,closed,FALSE,"Our drivers who work here clean, wipe tables , do dishes etc in between delivery orders but yours I understand don't so no worries your guy can chill out in between."
78,[not recorded],[not recorded],[not recorded],FALSE,
79,"N - 14th st, S - Broome, West - 7th ave, E - Broadway",41927,15-20,TRUE,Minor dishwashing if possible
80,[not recorded],[not recorded],[not recorded],FALSE,
81,[not recorded],[not recorded],[not recorded],FALSE,
82,[not recorded],[not recorded],[not recorded],FALSE,
83,[not recorded],[not recorded],[not recorded],FALSE,
84,[not recorded],[not recorded],[not recorded],FALSE,
85,[not recorded],[not recorded],[not recorded],FALSE,
86,.5-1,41675,20-25,TRUE,Folding pizza boxes
