rider_id,initial_points,points,reliability,likeability,speed
1,75,,2,2,2
2,75,,2,2,2
3,75,,2,2,2
4,75,,2,2,2
5,75,,2,2,2
6,75,,2,2,2
7,75,,2,2,2
8,75,,2,2,2
9,75,,2,2,2
10,75,,2,2,2
11,75,,2,2,2
12,75,,2,2,2
13,75,,2,2,2
14,75,,2,2,2
15,75,,2,2,2
16,75,,2,2,2
17,75,,2,2,2
18,75,,2,2,2
19,75,,2,2,2
20,75,,2,2,2
21,75,,2,2,2
22,75,,2,2,2
23,75,,2,2,2
24,75,,2,2,2
25,75,,2,2,2
26,75,,2,2,2
27,75,,2,2,2
28,75,,2,2,2
29,75,,2,2,2
30,75,,2,2,2
31,75,,2,2,2
32,75,,2,2,2
33,75,,2,2,2
34,75,,2,2,2
35,75,,2,2,2
36,75,,2,2,2
37,75,,2,2,2
38,75,,2,2,2
39,75,,2,2,2
40,75,,2,2,2
41,75,,2,2,2
42,75,,2,2,2
43,75,,2,2,2
44,75,,2,2,2
45,75,,2,2,2
46,75,,2,2,2
47,75,,2,2,2
48,75,,2,2,2
49,75,,2,2,2
50,75,,2,2,2
51,75,,2,2,2
52,75,,2,2,2
53,75,,2,2,2
54,75,,2,2,2
55,75,,2,2,2
56,75,,2,2,2
57,75,,2,2,2
58,75,,2,2,2
59,75,,2,2,2
60,75,,2,2,2
61,75,,2,2,2
62,75,,2,2,2
63,75,,2,2,2
64,75,,2,2,2
65,75,,2,2,2
66,75,,2,2,2
67,75,,2,2,2
68,75,,2,2,2
69,75,,2,2,2
70,75,,2,2,2
71,75,,2,2,2
72,75,,2,2,2
73,75,,2,2,2
74,75,,2,2,2
75,75,,2,2,2
76,75,,2,2,2
77,75,,2,2,2
78,75,,2,2,2
79,75,,2,2,2
80,75,,2,2,2
81,75,,2,2,2
82,75,,2,2,2
83,75,,2,2,2
84,75,,2,2,2
85,75,,2,2,2
86,75,,2,2,2
87,75,,2,2,2
88,75,,2,2,2
89,75,,2,2,2
90,75,,2,2,2
91,75,,2,2,2
92,75,,2,2,2
93,75,,2,2,2
94,75,,2,2,2
95,75,,2,2,2
96,75,,2,2,2
97,75,,2,2,2
98,75,,2,2,2
99,75,,2,2,2
100,75,,2,2,2
101,75,,2,2,2
102,75,,2,2,2
103,75,,2,2,2
104,75,,2,2,2
105,75,,2,2,2
106,75,,2,2,2
107,75,,2,2,2
108,75,,2,2,2
109,75,,2,2,2
110,75,,2,2,2
111,75,,2,2,2
112,75,,2,2,2
113,75,,2,2,2
114,75,,2,2,2
115,75,,2,2,2
116,75,,2,2,2
117,75,,2,2,2
118,75,,2,2,2
119,75,,2,2,2
120,75,,2,2,2
121,75,,2,2,2
122,75,,2,2,2
123,75,,2,2,2
124,75,,2,2,2
125,75,,2,2,2
126,75,,2,2,2
127,75,,2,2,2
128,75,,2,2,2
129,75,,2,2,2
130,75,,2,2,2
131,75,,2,2,2
132,75,,2,2,2
133,75,,2,2,2
134,75,,2,2,2
135,75,,2,2,2
136,75,,2,2,2
137,75,,2,2,2
138,75,,2,2,2
139,75,,2,2,2
140,75,,2,2,2
141,75,,2,2,2
142,75,,2,2,2
143,75,,2,2,2
144,75,,2,2,2
145,75,,2,2,2
146,75,,2,2,2
147,75,,2,2,2
148,75,,2,2,2
149,75,,2,2,2
150,75,,2,2,2
151,75,,2,2,2
152,75,,2,2,2
153,75,,2,2,2
154,75,,2,2,2
155,75,,2,2,2
156,75,,2,2,2
157,75,,2,2,2
158,75,,2,2,2
159,75,,2,2,2
160,75,,2,2,2
161,75,,2,2,2
162,75,,2,2,2
163,75,,2,2,2
164,75,,2,2,2
165,75,,2,2,2
166,75,,2,2,2
167,75,,2,2,2
168,75,,2,2,2
169,75,,2,2,2
170,75,,2,2,2
171,75,,2,2,2
172,75,,2,2,2
173,75,,2,2,2
