shift_id,rider_id,status
1,11,confirmed
2,11,confirmed
3,11,confirmed
4,,cancelled_by_rider
5,,cancelled_by_rider
6,,cancelled_by_rider
7,,cancelled_by_rider
8,56,cancelled_by_rider
9,69,confirmed
10,56,confirmed
11,56,confirmed
12,26,confirmed
13,22,confirmed
14,22,confirmed
15,22,confirmed
16,26,confirmed
17,71,confirmed
18,22,confirmed
19,61,confirmed
20,61,confirmed
21,61,confirmed
22,61,confirmed
23,68,confirmed
24,42,confirmed
25,42,confirmed
26,35,confirmed
27,35,confirmed
28,19,confirmed
29,31,confirmed
30,,cancelled_by_rider
31,19,confirmed
32,19,confirmed
33,31,confirmed
34,32,confirmed
35,31,confirmed
36,32,confirmed
37,58,confirmed
38,31,confirmed
39,19,confirmed
40,119,confirmed
41,32,confirmed
42,19,confirmed
43,31,confirmed
44,57,confirmed
45,57,confirmed
46,57,confirmed
47,57,confirmed
48,77,confirmed
49,77,confirmed
50,77,confirmed
51,77,confirmed
52,57,confirmed
53,57,confirmed
54,77,confirmed
55,77,confirmed
56,77,confirmed
57,77,confirmed
58,51,confirmed
59,61,confirmed
60,60,confirmed
61,,cancelled_by_rider
62,30,confirmed
63,51,confirmed
64,24,confirmed
65,51,confirmed
66,51,cancelled_by_rider
67,68,cancelled_by_rider
68,68,cancelled_by_rider
69,20,confirmed
70,32,confirmed
71,20,confirmed
72,20,confirmed
73,20,confirmed
74,32,confirmed
75,12,confirmed
76,12,confirmed
77,12,confirmed
78,32,confirmed
79,11,confirmed
80,11,confirmed
81,16,confirmed
82,16,confirmed
83,25,confirmed
84,21,confirmed
85,30,confirmed
86,17,confirmed
87,27,confirmed
88,68,confirmed
89,42,confirmed
90,42,confirmed
91,58,confirmed
92,58,confirmed
93,21,confirmed
94,58,confirmed
95,58,confirmed
96,60,confirmed
97,76,confirmed
98,77,confirmed
99,40,confirmed
100,27,confirmed
101,44,confirmed
102,59,confirmed
103,44,confirmed
104,119,confirmed
105,44,confirmed
106,59,confirmed
107,44,confirmed
108,27,confirmed
109,44,confirmed
110,59,confirmed
111,26,confirmed
112,44,cancelled_by_rider
113,27,confirmed
114,59,confirmed
115,42,confirmed
116,25,confirmed
117,61,confirmed
118,56,confirmed
119,61,confirmed
120,56,confirmed
121,61,confirmed
122,71,confirmed
123,68,confirmed
124,119,confirmed
125,31,confirmed
126,42,confirmed
127,58,confirmed
128,42,confirmed
129,12,confirmed
130,14,confirmed
131,14,confirmed
132,24,confirmed
133,24,confirmed
134,24,confirmed
135,72,confirmed
136,24,confirmed
137,111,confirmed
138,40,confirmed
139,111,confirmed
140,14,confirmed
141,111,confirmed
142,14,confirmed
143,111,confirmed
144,14,confirmed
145,14,confirmed
146,71,confirmed
147,70,confirmed
148,70,confirmed
149,70,confirmed
150,62,confirmed
