locatable_id,locatable_type,borough,neighborhood,address,lat,lng
1,Restaurant,brooklyn,park_slope,"234 Flatbush Ave, Brooklyn, NY 11217",40.680363,-73.975175
2,Restaurant,manhattan,midtown_east,"969 3rd Avenue, New York, NY 10022 ",40.760482,-73.966925
3,Restaurant,brooklyn,bushwick,"143 St Nicholas Ave, Brooklyn, NY 11237",40.705081,-73.917044
4,Restaurant,brooklyn,park_slope,"474 Bergen St, Brooklyn, NY 11217",40.680776,-73.975642
5,Restaurant,manhattan,lower_east_side,"94 Avenue C, New York, NY 10009",40.723603,-73.978927
6,Restaurant,manhattan,lower_east_side,"5 Avenue A, New York, NY 10009",40.722524,-73.986284
7,Restaurant,manhattan,tribeca,"22 Warren St, New York, NY 10007",40.714328,-74.007815
8,Restaurant,brooklyn,park_slope,"446 Dean St, Brooklyn, NY 11217",40.681916,-73.976382
9,Restaurant,brooklyn,fort_greene,"154 Adelphi Street, Brooklyn, NY 11205",40.69164,-73.97156
10,Restaurant,manhattan,hells_kitchen,"600 11th Ave., New York, NY 10036",40.762439,-73.997146
11,Restaurant,brooklyn,williamsburg,"525 Grand Street, Brooklyn, NY 11211",40.711265,-73.950319
12,Restaurant,manhattan,soho,"54 Prince St, New York, NY 10012",40.723522,-73.996369
13,Restaurant,brooklyn,park_slope,"604 Union St, Brooklyn, NY 11215",40.6777,-73.983829
14,Restaurant,manhattan,west_village,"123 W 3rd St, New York, NY 10012",40.73071,-74.000426
15,Restaurant,manhattan,midtown_west,"500 7th Ave, 17th Floor, Manhattan, NY 10018",40.75313,-73.989527
16,Restaurant,brooklyn,williamsburg,"557 Driggs Ave, Brooklyn, NY 11211",40.716838,-73.956519
17,Restaurant,brooklyn,gowanus,"433 3rd Ave, Brooklyn, NY 11215",40.672235,-73.989983
18,Restaurant,manhattan,midtown_east,"216E 45th St, New York, NY 10017",40.752075,-73.972178
19,Restaurant,manhattan,gramercy,"391 2nd Ave, New York, NY 10010",40.737719,-73.981392
